Section Name,Section Abbreviation,Date,Name,Position,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"DIDONNA, ALESSANDRO, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF ANATOMY & CELL BIOLOGY,BRODY SCHOOL OF MEDICINE,EAST CAROLINA UNIVERSITY,"GREENVILLE,    NC,    27834",,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"FUNK, KRISTEN EMILY, AB, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF BIOLOGICAL SCIENCES,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,"CHARLOTTE,    NC,    28223",,,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"GALLARDO, GILBERT, BS, MS, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY,WASHINGTON UNIVERSITY SCHOOL OF MEDICINE,"ST. LOUIS,    MO,    63110",,,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"GATE, DAVID, PHD, BA",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY,NORTHWESTERN UNIVERSITY,"CHICAGO,    IL,    60614",,,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"GOMAR, JESUS J, PHD",ASSISTANT PROFESSOR,THE LITWIN-ZUCKER RESEARCH CENTER FOR THE STUDY,OF ALZHEIMER'S DISEASE,THE FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH,"MANHASSET,    NY,    11030",,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"HUANG, YU-WEN ALVIN, MD, PHD",ASSISTANT PROFESSOR,"DEPARTMENT OF MOLECULAR BIOLOGY, CELL BIOLOGY AND",BIOCHEMISTRY,BROWN UNIVERSITY,"PROVIDENCE,    RI,    02903",,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"LI, YONGHE, PHD, MS, BS",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROSCIENCE,MAYO CLINIC,"JACKSONVILLE,    FL,    32224",,,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"PALACIOS, NATALIA, SCD",ASSISTANT PROFESSOR,PUBLIC HEALTH,UNIVERSITY OF MASSACHUSETTS,"BOSTON,    MA,    02115",,,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"PEHAR, MARIANA ATINA, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF MEDICINE,DIVISION OF GERIATRICS AND GERONTOLOGY,UNIVERSITY OF WISCONSIN-MADISON,"MADISON,    WI,    53705",,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"RICE, HEATHER C., BS, PHD",ASSISTANT PROFESSOR,AGING & METABOLISM PROGRAM,OKLAHOMA MEDICAL RESEARCH FOUNDATION,"OKLAHOMA CITY,    OK,    73104",,,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"SHAPIRO, LEE A., PHD",ASSISTANT PROFESSOR,DEPARTMENT OF SURGERY,COLLEGE OF MEDICINE,TEXAS A&M UNIVERSITY,"TEMPLE,    TX,    76504",,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"SHER, FALAK, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY,COLUMBIA UNIVERSITY,"NEW YORK,    NY,    10032",,,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"VOLMAR, CLAUDE-HENRY, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF PSYCHIATRY & BEHAVIORAL SCIENCES,UNIVERSITY OF MIAMI MILLER SCHOOL OF MEDICINE,"MIAMI,    FL,    33136",,,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"WOOD, LEVI BENJAMIN, BS, MS, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF BIOENGINEERING,GEORGIA INSTITUTE OF TECHNOLOGY,"ATLANTA,    GA,    30332",,,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"YASEEN, MOHAMMAD ABBAS, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF BIOENGINEERING,NORTHEASTERN UNIVERSITY,"BOSTON,    MA,    02120",,,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"ZHU, YI, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF PHYSIOLOGY,MAYO CLINIC,"ROCHESTER,    MN,    55905",,,
"[SEP] MEMBER CONFLICT: BIOENGINEERING, BIODATA, AND BIOMODELLING TECHNOLOGIES",ZRG1 BBBT - F (02),07/16/24,"MAYALU, MICHAELLE NTALA, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF ENGINEERING,STANFORD UNIVERSITY,"STANFORD,    CA,    94305",,,
"[SEP] MEMBER CONFLICT: BIOENGINEERING, BIODATA, AND BIOMODELLING TECHNOLOGIES",ZRG1 BBBT - F (02),07/16/24,"RAY, DEBASHREE, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF EPIDEMIOLOGY,JOHNS HOPKINS UNIVERSITY,"BALTIMORE,    MD,    21205",,,
"[SEP] MEMBER CONFLICT: BIOENGINEERING, BIODATA, AND BIOMODELLING TECHNOLOGIES",ZRG1 BBBT - F (02),07/16/24,"HUANG, CHENGCHENG, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROSCIENCE,UNIVERSITY OF PITTSBURGH,"PITTSBURGH,    PA,    15260",,,
"[SEP] MEMBER CONFLICT: BIOMATERIALS, DRUG DELIVERY AND INSTRUMENTATION",ZRG1 BBBT - K (03),07/10/24,"HETTIARATCHI, MARIAN HIRUSHIKA, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF BIOENGINEERING,UNIVERSITY OF OREGON,"EUGENE,    OR,    97403",,,
"[SEP] MEMBER CONFLICT: BIOMATERIALS, DRUG DELIVERY AND INSTRUMENTATION",ZRG1 BBBT - K (03),07/10/24,"STOPPEL, WHITNEY L, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF CHEMICAL ENGINEERING,UNIVERSITY OF FLORIDA,"GAINESVILLE,    FL,    32606",,,
[SEP] BIOMEDICAL DATA REPOSITORIES AND KNOWLEDGEBASES,ZRG1 BBBT - T (55),06/05/24,"HADLEY, DEXTER D, MD, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF PATHOLOGY,UNIVERSITY OF CENTRAL FLORIDA,"ORLANDO,    FL,    32827",,,
"[SEP] BIOENGINEERING, BIOMATERIALS, AND INSTRUMENTATION",ZRG1 BBBT - T (82),07/17/24,"DU, KE, PHD",ASSISTANT PROFESSOR,CHEMICAL AND ENVIRONMENTAL ENGINEERING,UNIVERSITY OF CALIFORNIA RIVERSIDE,"RIVERSIDE,    CA,    92521",,,
"[SEP] BIOENGINEERING, BIOMATERIALS, AND INSTRUMENTATION",ZRG1 BBBT - T (82),07/17/24,"LIU, YUGUANG, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF PHYSIOLOGY AND BIOMEDICAL,ENGINEERING,MAYO CLINIC,"ROCHESTER,    MN,    55905",,
"[SEP] BIOENGINEERING, BIOMATERIALS, AND INSTRUMENTATION",ZRG1 BBBT - T (82),07/17/24,"MEHTA, GEETA, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF MATERIALS SCIENCE AND,BIOMEDICAL ENGINEERING,UNIVERSITY OF MIICHIGAN,"ANN ARBOR,    MI,    48109",,
"[SEP] BIOENGINEERING, BIOMATERIALS, AND INSTRUMENTATION",ZRG1 BBBT - T (82),07/17/24,"SMITH, QUINTON, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF CHEMICAL AND BIOMOLECULAR,ENGINEERING,"UNIVERSITY OF CALIFORNIA, IRVINE","IRVINE,    CA,    92697",,
"[SEP] BIOENGINEERING, BIOMATERIALS, AND INSTRUMENTATION",ZRG1 BBBT - T (82),07/17/24,"TIAN, LIMEI, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,TEXAS A&M UNIVERSITY,"COLLEGE STATION,    TX,    77843",,,
"[SEP] BIOENGINEERING, BIOMATERIALS, AND INSTRUMENTATION",ZRG1 BBBT - T (82),07/17/24,"YESILKOY, FILIZ, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,UNIVERSITY OF WISCONSIN-MADISON,"MADISON,    WI,    53706",,,
[SEP] PAR-23-110: BIOMEDICAL TECHNOLOGY OPTIMIZATION AND DISSEMINATION CENTER (BTOD),ZRG1 BBBT - X (57),07/24/24,"ECHEVERRIA RIESCO, IGNACIA, PHD",ASSISTANT PROFESSOR,CELLULAR MOLECULAR PHARMACOLOGY,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","SAN FRANCISCO,    CA,    94143",,,
[SEP] PAR-23-110: BIOMEDICAL TECHNOLOGY OPTIMIZATION AND DISSEMINATION CENTER (BTOD),ZRG1 BBBT - X (57),07/24/24,"LETTERI, RACHEL, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF CHEMICAL ENGINEERING,UNIVERSITY OF VIRGINIA,"CHARLOTTESVILLE,    VA,    22904",,,
[SEP] MEMBER CONFLICT: TOPICS ON BIOBEHAVIORAL PROCESSES,ZRG1 BP - A (02),07/09/24,"DUVAL, ELIZABETH, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF PSYCHIATRY,UNIVERSITY OF MICHIGAN,"ANN ARBOR,    MI,    48109",,,
[SEP] MEMBER CONFLICT: TOPICS ON BIOBEHAVIORAL PROCESSES,ZRG1 BP - A (02),07/09/24,"HERRINGTON, TODD, PHD, MD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY,MASSACHUSETTS GENERAL HOSPITAL,"BOSTON,    MA,    02114",,,
[SEP] MEMBER CONFLICT: TOPICS ON BIOBEHAVIORAL PROCESSES,ZRG1 BP - A (02),07/09/24,"KLINE, CHRISTOPHER EDWARD, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF HEALTH AND HUMAN DEVELOPMENT,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,"PITTSBURGH,    PA,    02912",,,
[SEP] MEMBER CONFLICT: TOPICS ON BIOBEHAVIORAL PROCESSES,ZRG1 BP - A (02),07/09/24,"SHULTZ, SARAH, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF PEDIATRICS,EMORY UNIVERSITY SCHOOL OF MEDICINE,"ATLANTA,    GA,    30329",,,
[SEP] TRANSFORMATIVE RESEARCH TO ADDRESS HEALTH DISPARITIES AND ADVANCE HEALTH EQUITY,ZRG1 BP - H (50),07/10/24,"BENTLEY-EDWARDS, KEISHA L, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF MEDICINE,DUKE UNIVERSITY,"DURHAM,    NC,    27708",,,
[SEP] TRANSFORMATIVE RESEARCH TO ADDRESS HEALTH DISPARITIES AND ADVANCE HEALTH EQUITY,ZRG1 BP - H (50),07/10/24,"FORRESTER, SARAH N, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF POPULATION AND QUANTITATIVE,AND HEALTH SCIENCES,UNIVERSITY OF MASSACHUSETTS,"WORCESTER,    MA,    01605",,
[SEP] TRANSFORMATIVE RESEARCH TO ADDRESS HEALTH DISPARITIES AND ADVANCE HEALTH EQUITY,ZRG1 BP - H (50),07/10/24,"KAZI, SADAF, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF EMERGENCY MEDICINE,GEORGETOWN UNIVERSITY,"WASHINGTON,    DC,    20008",,,
[SEP] TRANSFORMATIVE RESEARCH TO ADDRESS HEALTH DISPARITIES AND ADVANCE HEALTH EQUITY,ZRG1 BP - H (50),07/10/24,"MARTINEZ-CARDOSO, ARESHA MAREE, PHD",ASSISTANT PROFESSOR,PUBLIC HEALTH SCIENCES,UNIVERSITY OF CHICAGO,"CHICAGO,    IL,    60637",,,
[SEP] TRANSFORMATIVE RESEARCH TO ADDRESS HEALTH DISPARITIES AND ADVANCE HEALTH EQUITY,ZRG1 BP - H (50),07/10/24,"XIAO, YUNYU, PHD",ASSISTANT PROFESSOR,POPULATION HEALTH SCIENCES,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,"NEW YORK,    NY,    10065",,,
[SEP] PAR-24-045 AND PAR-24-046: TACKLING ACQUISITION OF LANGUAGE IN KIDS (TALK) APPLICATIONS,ZRG1 BP - R (51),06/27/24,"BRODBECK, CHRISTIAN, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF COMPUTING AND SOFTWARE,MCMASTER UNIVERSITY,"HAMILTON,    ON,    L8S 4L7",,,
[SEP] PAR-24-045 AND PAR-24-046: TACKLING ACQUISITION OF LANGUAGE IN KIDS (TALK) APPLICATIONS,ZRG1 BP - R (51),06/27/24,"FERNANDINO, LEONARDO F, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY,MEDICAL COLLEGE OF WISCONSIN,"MILWAUKEE,    WI,    53226",,,
[SEP] PAR-24-045 AND PAR-24-046: TACKLING ACQUISITION OF LANGUAGE IN KIDS (TALK) APPLICATIONS,ZRG1 BP - R (51),06/27/24,"GOODRICH, JOHN MARC, PHD",ASSISTANT PROFESSOR,"DEPARTMENT OF TEACHING, LEARNING AND CULTURE",TEXAS A&M UNIVERSITY,"COLLEGE STATION,    TX,    77843",,,
