Section Name,Section Abbreviation,Date,Name,Position,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6
PATHOPHYSIOLOGY OF EYE DISEASE - 1 STUDY SECTION,PED1,06/09/22 -,"ABCOUWER, STEVEN F,  PHD",PROFESSOR,DEPARTMENT OF OPHTHALMOLOGY AND VISUAL SCIENCES,KELLOGG EYE CENTER ,SCHOOL OF MEDICINE,UNIVERSITY OF MICHIGAN ,"ANN ARBOR, MI, 48105",
PATHOPHYSIOLOGY OF EYE DISEASE - 1 STUDY SECTION,PED1,02/07/22 -,"ABCOUWER, STEVEN F,  PHD",PROFESSOR,DEPARTMENT OF OPHTHALMOLOGY AND VISUAL SCIENCES,KELLOGG EYE CENTER ,SCHOOL OF MEDICINE,UNIVERSITY OF MICHIGAN ,"ANN ARBOR, MI, 48105",
PATHOPHYSIOLOGY OF EYE DISEASE - 1 STUDY SECTION,PED1,10/28/21 -,"ABCOUWER, STEVEN F,  PHD",PROFESSOR,DEPARTMENT OF OPHTHALMOLOGY AND VISUAL SCIENCES,KELLOGG EYE CENTER ,SCHOOL OF MEDICINE,UNIVERSITY OF MICHIGAN ,"ANN ARBOR, MI, 48105",
THERAPEUTIC DEVELOPMENT AND PRECLINICAL STUDIES STUDY SECTION,TDPS,10/20/22 -,"ABDEL-LATIF, AHMED,  MD,  PHD",PROFESSOR,DIVISION OF CARDIOLOGY,COLLEGE OF MEDICINE,UNIVERSITY OF KENTUCKY,"LEXINGTON, KY, 40536",,
TUMOR MICROENVIRONMENT STUDY SECTION,TME,10/28/21 -,"ABDEL-MAGEED, ASIMB,  PHD*",ZIMMERMANN ENDOWED PROFESSOR,DEPARTMENT OF UROLOGY,TULANE CANCER CENTER,SCHOOL OF MEDICINE,TULANE UNIVERSITY,"NEW ORLEANS, LA, 70112",
CANCER GENETICS STUDY SECTION,CG,06/13/22 -,"ABDEL-RAHMAN, MOHAMED H,  PHD*",PROFESSOR,DEPARTMENT OF OPTHALMOLOGY,OHIO STATE UNIVERSITY,"COLUMBUS, OH, 43210",,,
CLINICAL INFORMATICS AND DIGITAL HEALTH STUDY SECTION,CIDH,02/09/22 -,"ABDELRAHMAN, SAMIR E,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF BIOMEDICAL INFORMATICS,UNIVERSITY OF UTAH,"SALT LAKE, UT, 84108",,,
CLINICAL INFORMATICS AND DIGITAL HEALTH STUDY SECTION,CIDH,09/29/22 -,"ABDULLAH, SAEED,  PHD*",ASSISTANT PROFESSOR,COLLEGE OF INFORMATION SCIENCES AND TECHNOLOGY,PENNSYLVANIA STATE UNIVERSITY,"UNIVERSITY PARK, PA, 16802",,,
"BASIC BIOLOGY OF BLOOD, HEART AND VASCULATURE STUDY SECTION",BBHV,06/16/22 -,"ABE, JUN-ICHI,  MD,  PHD",PROFESSOR,DIVISION OF INTERNAL MEDICINE,DEPARTMENT OF CARDIOLOGY,MD ANDERSON CANCER CENTER,UNIVERSITY OF TEXAS,"HOUSTON, TX, 77030",
"BASIC BIOLOGY OF BLOOD, HEART AND VASCULATURE STUDY SECTION",BBHV,02/15/22 -,"ABE, JUN-ICHI,  MD,  PHD",PROFESSOR,DIVISION OF INTERNAL MEDICINE,DEPARTMENT OF CARDIOLOGY,MD ANDERSON CANCER CENTER,UNIVERSITY OF TEXAS,"HOUSTON, TX, 77030",
"KIDNEY, NUTRITION, OBESITY AND DIABETES STUDY SECTION",KNOD,06/02/22 -,"ABEBE, KALEABZ,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF MEDICINE,CENTER FOR RESEARCH ON HEALTH CARE DATA CENTER,UNIVERSITY OF PITTSBURGH SCHOOL OF MEDICINE,"PITTSBURGH, PA, 15213",,
"KIDNEY, NUTRITION, OBESITY AND DIABETES STUDY SECTION",KNOD,02/03/22 -,"ABEBE, KALEABZ,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF MEDICINE,CENTER FOR RESEARCH ON HEALTH CARE DATA CENTER,UNIVERSITY OF PITTSBURGH SCHOOL OF MEDICINE,"PITTSBURGH, PA, 15213",,
"KIDNEY, NUTRITION, OBESITY AND DIABETES STUDY SECTION",KNOD,10/07/21 -,"ABEBE, KALEABZ,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF MEDICINE,CENTER FOR RESEARCH ON HEALTH CARE DATA CENTER,UNIVERSITY OF PITTSBURGH SCHOOL OF MEDICINE,"PITTSBURGH, PA, 15213",,
DRUG DISCOVERY AND MECHANISMS OF ANTIMICROBIAL RESISTANCE STUDY SECTION,DDR,07/14/21 -,"ABEDON, STEPHEN T,  PHD*",PROFESSOR,DEPARTMENT OF MICROBIOLOGY,COLLEGE OF ARTS AND SCIENCES,OHIO STATE UNIVERSITY,"MANSFIELD, OH, 44906",,
AUDITORY SYSTEM STUDY SECTION,AUD,02/02/22 -,"ABEL, TAYLOR JOHN,  MD*",ASSISTANT PROFESSOR,"SURGICAL DIRECTOR,  PEDIATRIC EPILEPSY SURGERY",PROGRAM,DEPARTMENT OF PEDIATRIC NEUROLOGICAL SURGERY,UNIVERSITY OF PITTSBURGH,"PITTSBURGH, PA, 15213",
"BIOENGINEERING OF NEUROSCIENCE, VISION AND LOW VISION TECHNOLOGIES STUDY SECTION",BNVT,06/01/22 -,"ABELL, THOMAS L,  MD",PROFESSOR OF MEDICINE,"DIVISION OF GASTROENTEROLOGY, ","HEPATOLOGY,  AND NUTRITION",UNIVERSITY OF LOUISVILLE,"LOUISVILLE, KY, 40202",,
DRUG DISCOVERY AND MECHANISMS OF ANTIMICROBIAL RESISTANCE STUDY SECTION,DDR,03/01/22 -,"ABEL-SANTOS, ERNESTO V,  PHD",PROFESSOR,DEPARTMENT OF CHEMISTRY,"UNIVERSITY OF NEVADA,  LAS VEGAS","LAS VEGAS, NV, 89154",,,
DRUG DISCOVERY AND MECHANISMS OF ANTIMICROBIAL RESISTANCE STUDY SECTION,DDR,07/14/21 -,"ABEL-SANTOS, ERNESTO V,  PHD",PROFESSOR,DEPARTMENT OF CHEMISTRY,"UNIVERSITY OF NEVADA,  LAS VEGAS","LAS VEGAS, NV, 89154",,,
IMAGING PROBES AND CONTRAST AGENTS STUDY SECTION,IPCA,10/13/22 -,"ABERGEL, REBECCA J,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF NUCLEAR ENGINEERING,UNIVERSITY OF CALIFORNIA BERKELEY,"BERKELEY, CA, 94720",,,
CLINICAL TRANSLATIONAL IMAGING SCIENCE STUDY SECTION,CTIS,10/20/22 -,"ABERLE, DENISE R,  MD",PROFESSOR,DEPARTMENT OF RADIOLOGICAL SCIENCES,HENRY SAMUELI SCHOOL OF ENGINEERING,"UNIVERSITY OF CALIFORNIA,  LOS ANGELES","LOS ANGELES, CA, 90095",,
CLINICAL TRANSLATIONAL IMAGING SCIENCE STUDY SECTION,CTIS,06/16/22 -,"ABERLE, DENISE R,  MD",PROFESSOR,DEPARTMENT OF RADIOLOGICAL SCIENCES,HENRY SAMUELI SCHOOL OF ENGINEERING,"UNIVERSITY OF CALIFORNIA,  LOS ANGELES","LOS ANGELES, CA, 90095",,
CLINICAL TRANSLATIONAL IMAGING SCIENCE STUDY SECTION,CTIS,02/17/22 -,"ABERLE, DENISE R,  MD",PROFESSOR,DEPARTMENT OF RADIOLOGICAL SCIENCES,HENRY SAMUELI SCHOOL OF ENGINEERING,"UNIVERSITY OF CALIFORNIA,  LOS ANGELES","LOS ANGELES, CA, 90095",,
"BIOENGINEERING, TECHNOLOGY AND SURGICAL SCIENCES STUDY SECTION",BTSS,06/06/22 -,"ABID, RUHUL,  MD,  PHD*",ASSOCIATE PROFESSOR,DIVISION OF CARDIOTHORACIC SURGERY,RHODE ISLAND HOSPITAL,BROWN UNIVERSITY MEDICAL SCHOOL,"PROVIDENCE, RI, 02903",,
"BIOENGINEERING, TECHNOLOGY AND SURGICAL SCIENCES STUDY SECTION",BTSS,06/06/22 -,"ABI-JAOUDEH, NADINE,  MD*",PROFESSOR AND CHIEF,DEPARTMENT OF VASCULAR AND,INTERVENTIONAL RADIOLOGY,UNIVERSITY OF CALIFORNIA IRVINE,"ORANGE, CA, 92867",,
"BIOENGINEERING, TECHNOLOGY AND SURGICAL SCIENCES STUDY SECTION",BTSS,10/11/22 -,"ABI-JAOUDEH, NADINE,  MD*",PROFESSOR,CHIEF OF VASCULAR AND INTERVENTIONAL RADIOLOGY,UNIVERSITY OF CALIFORNIA IRVINE,"ORANGE, CA, 92867",,,
"BIOENGINEERING, TECHNOLOGY AND SURGICAL SCIENCES STUDY SECTION",BTSS,02/14/22 -,"ABI-JAOUDEH, NADINE,  MD*",PROFESSOR,DEPARTMENT OF RADIOLOGICAL SCIENCES,VASCULAR AND INTERVENTIONAL RADIOLOGY SECTION,UNIVERSITY OF CALIFORNIA IRVINE,"ORANGE, CA, 92867",,
CELLULAR AND MOLECULAR BIOLOGY OF NEURODEGENERATION STUDY SECTION,CMND,06/23/22 -,"ABISAMBRA, JOSE FRANCISCO,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF NEUROSCIENCE,CENTER FOR TRANSLATIONAL RESEARCH,IN NEURODEGENERATION,UNIVERSITY OF FLORIDA,"GAINESVILLE, FL, 32610",
CELLULAR AND MOLECULAR BIOLOGY OF NEURODEGENERATION STUDY SECTION,CMND,10/28/21 -,"ABISAMBRA, JOSE FRANCISCO,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF NEUROSCIENCE,CENTER FOR TRANSLATIONAL RESEARCH,IN NEURODEGENERATION,UNIVERSITY OF FLORIDA,"GAINESVILLE, FL, 32610",
DRUG DISCOVERY FOR THE NERVOUS SYSTEM STUDY SECTION,DDNS,02/17/22 -,"ABLORDEPPEY, SETH Y,  PHD",PROFESSOR,DIVISION OF BASIC PHARMACEUTICAL SCIENCES,COLLEGE OF PHARMACY,AND PHARMACEUTICAL SCIENCES,FLORIDA A &amp; M UNIVERSITY,"TALLAHASSEE, FL, 32307",
DRUG DISCOVERY FOR THE NERVOUS SYSTEM STUDY SECTION,DDNS,10/20/22 -,"ABLORDEPPEY, SETH Y,  PHD",PROFESSOR,BASIC PHARAMACEUTICAL SCIENCES,FLORIDA A&amp;M UNIVERSITY,"TALLAHASSEE, FL, 32307",,,
DRUG DISCOVERY FOR THE NERVOUS SYSTEM STUDY SECTION,DDNS,06/16/22 -,"ABLORDEPPEY, SETH Y,  PHD",PROFESSOR,BASIC PHARAMACEUTICAL SCIENCES,FLORIDA A&amp;M UNIVERSITY,"TALLAHASSEE, FL, 32307",,,
"DIGESTIVE SYSTEM HOST DEFENSE, MICROBIAL INTERACTIONS AND IMMUNE AND INFLAMMATORY DISEASE STUDY SECTION",DHMI,06/23/22 -,"ABOU DONIA, MOHAMED,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOLOGY,PRINCETON UNIVERSITY,"PRINCETON, NJ, 08544",,,
ORGANIZATION AND DELIVERY OF HEALTH SERVICES STUDY SECTION,ODHS,11/03/21 -,"ABOUK, RAHI,  PHD*",ASSOCIATE PROFESSOR,"DEPARTMENT OF ECONOMICS,  FINANCE AND",GLOBAL BUSINESS,WILLIAM PATTERSON UNIVERSITY,"WAYNE, NJ, 07470",,
VIROLOGY - A STUDY SECTION,VIRA,03/03/22 -,"ABRAHAM, JONATHAN,  PHD,  MD*",ASSISTANT PROFESSOR,DEPARTMENT OF MEDICINE,BRIGHAM AND WOMEN'S HOSPITAL,"BOSTON, MA, 02115",,,
SENSORY-MOTOR NEUROSCIENCE STUDY SECTION,SMN,02/01/22 -,"ABRAIRA, VICTORIA EUGENIA,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF CELL BIOLOGY AND NEUROSCIENCE,SCHOOL OF ARTS AND SCIENCES,"RUTGERS,  THE STATE UNIVERSITY OF NEW JERSEY","PISCATAWAY, NJ, 08854",,
CANCER IMMUNOPATHOLOGY AND IMMUNOTHERAPY STUDY SECTION,CII,06/23/22 -,"ABRAMS, SCOTTI,  PHD*",PROFESSOR OF ONCOLOGY,DEPARTMENT OF IMMUNOLOGY,ROSWELL PARK COMPREHENSIVE CANCER CENTER,"BUFFALO, NY, 14263",,,
"CANCER, HEART, AND SLEEP EPIDEMIOLOGY B STUDY SECTION",CHSB,02/16/22 -,"ABSHER, DEVIN MICHAEL,  PHD",FACULTY INVESTIGATOR,HUDSON-ALPHA INSTITUTE FOR BIOTECHNOLOGY,"HUNTSVILLE, AL, 35806",,,,
"CANCER, HEART, AND SLEEP EPIDEMIOLOGY B STUDY SECTION",CHSB,10/25/21 -,"ABSHER, DEVIN MICHAEL,  PHD",FACULTY INVESTIGATOR,HUDSON-ALPHA INSTITUTE FOR BIOTECHNOLOGY,"HUNTSVILLE, AL, 35806",,,,
INTERDISCIPLINARY CLINICAL CARE IN SPECIALTY CARE SETTINGS STUDY SECTION,ICSC,06/02/22 -,"ABSHIRE SAYLOR, MARTHA,  PHD*",ASSISTANT PROFESSOR,SCHOOL OF NURSING,JOHNS HOPKINS UNIVERSITY,"BALTIMORE, MD, 21205",,,
POPULATION AND PUBLIC HEALTH APPROACHES TO HIV/AIDS STUDY SECTION,PPAH,03/17/22 -,"ABUELEZAM, NADIA NATASHA,  SCD*",ASSISTANT PROFESSOR,140 COMMONWEALTH AVE,"CHESTNUT HILL, MA, 02467",,,,
NUTRITION AND METABOLISM IN HEALTH AND DISEASE STUDY SECTION,NMHD,10/13/22 -,"ABUMRAD, NADAA,  PHD*",PROFESSOR OF CELL BIOLOGY AND PHYSIOLOGY,DR. ATKINS PROFESSOR OF OBESITY,RESEARCH IN MEDICINE,WASHINGTON UNIVERSITY,"ST. LOUIS, MO, 63110",,
NUTRITION AND METABOLISM IN HEALTH AND DISEASE STUDY SECTION,NMHD,06/21/22 -,"ABUMRAD, NADAA,  PHD*",PROFESSOR OF CELL BIOLOGY AND PHYSIOLOGY,DR. ATKINS PROFESSOR OF OBESITY,RESEARCH IN MEDICINE,WASHINGTON UNIVERSITY,"ST. LOUIS, MO, 63110",,
POPULATION AND PUBLIC HEALTH APPROACHES TO HIV/AIDS STUDY SECTION,PPAH,07/14/22 -,"ABUOGI, LISA LYNN,  MD",ASSOCIATE PROFESSOR,DEPARTMENT OF PEDIATRICS,SCHOOL OF MEDICINE,"UNIVERSITY OF COLORADO,  DENVER","AURORA, CO, 80045",,
POPULATION AND PUBLIC HEALTH APPROACHES TO HIV/AIDS STUDY SECTION,PPAH,03/17/22 -,"ABUOGI, LISA LYNN,  MD",ASSOCIATE PROFESSOR,DEPARTMENT OF PEDIATRICS,SCHOOL OF MEDICINE,"UNIVERSITY OF COLORADO,  DENVER","AURORA, CO, 80045",,
POPULATION AND PUBLIC HEALTH APPROACHES TO HIV/AIDS STUDY SECTION,PPAH,11/15/21 -,"ABUOGI, LISA LYNN,  MD",ASSOCIATE PROFESSOR,DEPARTMENT OF PEDIATRICS,SCHOOL OF MEDICINE,"UNIVERSITY OF COLORADO,  DENVER","AURORA, CO, 80045",,
CLINICAL NEUROPLASTICITY AND NEUROTRANSMITTERS STUDY SECTION,CNNT,06/09/22 -,"ACCARDI, ALESSIO,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF PHYSIOLOGY AND BIOPHYSICS,WEILL CORNELL MEDICINE,"NEW YORK, NY, 10065",,,
NANOTECHNOLOGY STUDY SECTION,NANO,02/17/22 -,"ACHARYA, ABHINAV,  PHD*",ASSISTANT PROFESSOR,"SCHOOL FOR ENGINEERING OF MATTER,  TRANSPORT",AND ENERGY,ARIZONA STATE UNIVERSITY,"TEMPE, AZ, 85287",,
RADIATION THERAPEUTICS AND BIOLOGY STUDY SECTION,RTB,02/14/22 -,"ACHARYA, MUNJAL M,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF RADIATION ONCOLOGY,UNIVERSITY OF CALIFORNIA IRVINE,"IRVINE, CA, 92697",,,
BRAIN INJURY AND NEUROVASCULAR PATHOLOGIES STUDY SECTION,BINP,10/17/22 -,"ACHARYA, NIMISH KUMAR,  BS,  MS,  PC,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF GERIATRICS AND GERONTOLOGY,NEW JERSEY INSTITUTE FOR SUCCESSFUL AGING,"STRATFORD, NJ, 08084",,,
MACROMOLECULAR STRUCTURE AND FUNCTION C STUDY SECTION,MSFC,02/17/22 -,"ACHARYA, PRIYAMVADA,  PHD*",ASSOCIATE PROFESSOR,"DIRECTOR,  DIVISION OF STRUCTURAL BIOLOGY",DEPARTMENT OF SURGERY,HUMAN VACCINE INSTITUTE,DUKE UNIVERSITY SCHOOL OF MEDICINE,"DURHAM, NC, 27710",
BEHAVIORAL GENETICS AND EPIDEMIOLOGY STUDY SECTION,BGES,02/08/22 -,"ACHESON, ASHLEY,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF PSYCHIATRY AND BEHAVIORAL SCIENCES,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,"LITTLE ROCK, AR, 72205",,,
BEHAVIORAL GENETICS AND EPIDEMIOLOGY STUDY SECTION,BGES,10/19/21 -,"ACHESON, ASHLEY,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF PSYCHIATRY AND BEHAVIORAL SCIENCES,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,"LITTLE ROCK, AR, 72205",,,
"NEUROLOGICAL, MENTAL AND BEHAVIORAL HEALTH STUDY SECTION",NMBH,10/17/22 -,"ACHESON, ASHLEY,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF PSYCHIATRY AND BEHAVIORAL SCIENCES,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,"LITTLE ROCK, AR, 72205",,,
HIV IMMUNOPATHOGENESIS AND VACCINE DEVELOPMENT STUDY SECTION,HIVD,07/14/22 -,"ACKERMAN, MARGARETE,  PHD",PROFESSOR,THAYER SCHOOL OF ENGINEERING,DARTMOUTH COLLEGE,"HANOVER, NH, 03755",,,
HIV IMMUNOPATHOGENESIS AND VACCINE DEVELOPMENT STUDY SECTION,HIVD,03/10/22 -,"ACKERMAN, MARGARETE,  PHD",PROFESSOR,THAYER SCHOOL OF ENGINEERING,DARTMOUTH COLLEGE,"HANOVER, NH, 03755",,,
HIV IMMUNOPATHOGENESIS AND VACCINE DEVELOPMENT STUDY SECTION,HIVD,11/15/21 -,"ACKERMAN, MARGARETE,  PHD",PROFESSOR,THAYER SCHOOL OF ENGINEERING,DARTMOUTH COLLEGE,"HANOVER, NH, 03755",,,
"NEUROLOGICAL, AGING AND MUSCULOSKELETAL EPIDEMIOLOGY STUDY SECTION",NAME,06/08/22 -,"ACKERT-BICKNELL, CHERYLL,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF ORTHOPEDICS,SCHOOL OF MEDICINE,UNIVERSITY OF COLORADO,"AURORA, CO, 80045",,
"NEUROLOGICAL, AGING AND MUSCULOSKELETAL EPIDEMIOLOGY STUDY SECTION",NAME,02/09/22 -,"ACKERT-BICKNELL, CHERYLL,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF ORTHOPEDICS,SCHOOL OF MEDICINE,UNIVERSITY OF COLORADO,"AURORA, CO, 80045",,
"NEUROLOGICAL, AGING AND MUSCULOSKELETAL EPIDEMIOLOGY STUDY SECTION",NAME,10/06/21 -,"ACKERT-BICKNELL, CHERYLL,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF ORTHOPEDICS,SCHOOL OF MEDICINE,UNIVERSITY OF COLORADO,"AURORA, CO, 80045",,
INSTRUMENTATION AND SYSTEMS DEVELOPMENT STUDY SECTION,ISD,10/04/22 -,"ACOSTA, VICTOR MARCEL,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF PHYSICS AND ASTRONOMY,UNIVERSITY OF NEW MEXICO,"ALBUQUERQUE, NM, 87106",,,
EMERGING IMAGING TECHNOLOGIES AND APPLICATIONS STUDY SECTION,EITA,06/23/22 -,"ADALSTEINSSON, ELFAR,  PHD",EATON-PEABODY PROFESSOR,DEPARTMENT OF ELECTRICAL ENGINEERING,AND COMPUTER SCIENCE,INSTITUTE FOR MEDICAL ENGINEERING AND SCIENCE,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"CAMBRIDGE, MA, 02139",
EMERGING IMAGING TECHNOLOGIES AND APPLICATIONS STUDY SECTION,EITA,02/24/22 -,"ADALSTEINSSON, ELFAR,  PHD",EATON-PEABODY PROFESSOR,DEPARTMENT OF ELECTRICAL ENGINEERING,AND COMPUTER SCIENCE,INSTITUTE FOR MEDICAL ENGINEERING AND SCIENCE,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"CAMBRIDGE, MA, 02139",
EMERGING IMAGING TECHNOLOGIES AND APPLICATIONS STUDY SECTION,EITA,10/21/21 -,"ADALSTEINSSON, ELFAR,  PHD",EATON-PEABODY PROFESSOR,DEPARTMENT OF ELECTRICAL ENGINEERING,AND COMPUTER SCIENCE,INSTITUTE FOR MEDICAL ENGINEERING AND SCIENCE,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"CAMBRIDGE, MA, 02139",
MAXIMIZING INVESTIGATORS’ RESEARCH AWARD C STUDY SECTION,MRAC,06/14/22 -,"ADAM, ALEJANDRO P,  PHD",ASSOCIATE PROFESSOR,DEPARTMENTS OF MOLECULAR,AND CELLULAR PHYSIOLOGY,ALBANY MEDICAL COLLEGE,"ALBANY, NY, 12208",,
MAXIMIZING INVESTIGATORS’ RESEARCH AWARD C STUDY SECTION,MRAC,03/03/22 -,"ADAM, ALEJANDRO P,  PHD",ASSOCIATE PROFESSOR,DEPARTMENTS OF MOLECULAR,AND CELLULAR PHYSIOLOGY,ALBANY MEDICAL COLLEGE,"ALBANY, NY, 12208",,
MAXIMIZING INVESTIGATORS’ RESEARCH AWARD C STUDY SECTION,MRAC,11/01/21 -,"ADAM, ALEJANDRO P,  PHD",ASSOCIATE PROFESSOR,DEPARTMENTS OF MOLECULAR,AND CELLULAR PHYSIOLOGY,ALBANY MEDICAL COLLEGE,"ALBANY, NY, 12208",,
MUSCULOSKELETAL REHABILITATION SCIENCES STUDY SECTION,MRS,02/15/22 -,"ADAMCZYK, PETER G,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF MECHANICAL ENGINEERING,UNIVERSITY OF WISCONSIN - MADISON,"MADISON, WI, 53706",,,
SKELETAL BIOLOGY DEVELOPMENT AND DISEASE STUDY SECTION,SBDD,10/13/22 -,"ADAMOPOULOS, IANNISELIAS,  PHD",DIRECTOR,DIVISION OF RHEUMATOLOGY AND CLINICAL IMMUNOLOGY,BETH ISRAEL MEDICAL DEACONESS CENTER,CENTER FOR LIFE SCIENCES,HARVARD MEDICAL SCHOOL,"BOSTON, MA, 02115",
SKELETAL BIOLOGY DEVELOPMENT AND DISEASE STUDY SECTION,SBDD,06/01/22 -,"ADAMOPOULOS, IANNISELIAS,  PHD",DIRECTOR,DIVISION OF RHEUMATOLOGY AND CLINICAL IMMUNOLOGY,BETH ISRAEL MEDICAL DEACONESS CENTER,CENTER FOR LIFE SCIENCES,HARVARD MEDICAL SCHOOL,"BOSTON, MA, 02115",
SKELETAL BIOLOGY DEVELOPMENT AND DISEASE STUDY SECTION,SBDD,02/09/22 -,"ADAMOPOULOS, IANNISELIAS,  PHD",DIRECTOR,DIVISION OF RHEUMATOLOGY AND CLINICAL IMMUNOLOGY,BETH ISRAEL MEDICAL DEACONESS CENTER,CENTER FOR LIFE SCIENCES,HARVARD MEDICAL SCHOOL,"BOSTON, MA, 02115",
