Section Name,Section Abbreviation,Date,Name,Position,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6
GENETIC VARIATION AND EVOLUTION STUDY SECTION,GVE,10/20/2022,"WILKE, CLAUSO,  PHD",PROFESSOR AND DEPARTMENT CHAIR,DEPARTMENT OF INTEGRATIVE BIOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
INTEGRATIVE VASCULAR PHYSIOLOGY AND PATHOLOGY STUDY SECTION,IVPP,6/20/2023,"STONE, AUDREYJ,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF KINESIOLOGY AND HEALTH EDUCATION,COLLEGE OF EDUCATION,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
BIOLOGY AND DEVELOPMENT OF THE EYE STUDY SECTION,BDE,2/9/2023,"GROSS, JEFFREY,  PHD",PROFESSOR AND CHAIR,DEPARTMENT OF MOLECULAR BIOSCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
DEVELOPMENT - 1 STUDY SECTION,DEV1,2/14/2023,"VOKES, STEVENA,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,
VIRAL PATHOGENESIS AND IMMUNITY STUDY SECTION,VPI,2/14/2023,"SULLIVAN, CHRISTOPHERS,  PHD",PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,COLLEGE OF NATURAL SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
MAXIMIZING INVESTIGATORS’ RESEARCH AWARD A STUDY SECTION,MRAA,2/27/2023,"HARSHEY, RASIKAM,  PHD",PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
MACROMOLECULAR STRUCTURE AND FUNCTION A STUDY SECTION,MSFA,3/7/2023,"ZHANG, YANJESSIE,  PHD",PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,UNIVERSITY OF TEXAS-AUSTIN,"AUSTIN, TX, 78712",,,
MACROMOLECULAR STRUCTURE AND FUNCTION A STUDY SECTION,MSFA,6/6/2023,"ZHANG, YANJESSIE,  PHD",PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,UNIVERSITY OF TEXAS-AUSTIN,"AUSTIN, TX, 78712",,,
BIOLOGY AND DEVELOPMENT OF THE EYE STUDY SECTION,BDE,6/8/2023,"GROSS, JEFFREY,  PHD",PROFESSOR AND CHAIR,DEPARTMENT OF MOLECULAR BIOSCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
RADIATION THERAPEUTICS AND BIOLOGY STUDY SECTION,RTB,6/12/2023,"MILLER, KYLEM,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,INSTITUTE FOR CELLULAR AND MOLECULAR BIOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
MAXIMIZING INVESTIGATORS’ RESEARCH AWARD A STUDY SECTION,MRAA,6/12/2023,"HARSHEY, RASIKAM,  PHD",PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
VIRAL PATHOGENESIS AND IMMUNITY STUDY SECTION,VPI,6/14/2023,"SULLIVAN, CHRISTOPHERS,  PHD",PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,COLLEGE OF NATURAL SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
"CELLULAR, MOLECULAR AND INTEGRATIVE REPRODUCTION STUDY SECTION",CMIR,6/20/2023,"KIM, JONGHWAN,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
CANCER ETIOLOGY STUDY SECTION,CE,6/21/2022,"MILLER, KYLEM,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
MAXIMIZING INVESTIGATORS’ RESEARCH AWARD A STUDY SECTION,MRAA,10/12/2022,"HARSHEY, RASIKAM,  PHD",PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
BIOLOGY AND DEVELOPMENT OF THE EYE STUDY SECTION,BDE,10/17/2022,"GROSS, JEFFREY,  PHD",PROFESSOR AND CHAIR,DEPARTMENT OF MOLECULAR BIOSCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
DEVELOPMENT - 1 STUDY SECTION,DEV1,10/20/2022,"VOKES, STEVENA,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,
MACROMOLECULAR STRUCTURE AND FUNCTION A STUDY SECTION,MSFA,10/25/2022,"ZHANG, YANJESSIE,  PHD",PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,UNIVERSITY OF TEXAS-AUSTIN,"AUSTIN, TX, 78712",,,
PREGNANCY AND NEONATOLOGY STUDY SECTION,PN,2/23/2023,"KIM, JONGHWAN,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR CELL,AND DEVELOPMENTAL BIOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,6/8/2023,"HAMILTON, J LIBERTYS,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY,SCHOOL OF MEDICINE,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78702",,
CLINICAL NEUROPLASTICITY AND NEUROTRANSMITTERS STUDY SECTION,CNNT,2/16/2023,"HOWARD, MACKENZIEA,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROSCIENCE,CENTER FOR LEARNING AND MEMORY AND,INSTITUTE FOR NEUROSCIENCE,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",
"LEARNING, MEMORY AND DECISION NEUROSCIENCE STUDY SECTION",LMDN,2/23/2023,"PIERCE, JONATHANTHOMAS,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF NEUROSCIENCE,WAGGONER CENTER FOR ALCOHOL,AND ADDICTION RESEARCH,"THE UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78705",
"LEARNING, MEMORY AND DECISION NEUROSCIENCE STUDY SECTION",LMDN,6/15/2023,"DREW, MICHAELR,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF NEUROSCIENCE,COLLEGE OF NATURAL SCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
PATHOPHYSIOLOGICAL BASIS OF MENTAL DISORDERS AND ADDICTIONS STUDY SECTION,PMDA,5/31/2023,"MORIKAWA, HITOSHI,  MD,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF NEUROSCIENCE.,WAGGONER CENTER FOR ALCOHOL AND ADDICTION RESEARCH,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
PATHOPHYSIOLOGICAL BASIS OF MENTAL DISORDERS AND ADDICTIONS STUDY SECTION,PMDA,9/28/2022,"MORIKAWA, HITOSHI,  MD,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF NEUROSCIENCE.,WAGGONER CENTER FOR ALCOHOL AND ADDICTION RESEARCH,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
KIDNEY ENDOCRINE AND DIGESTIVE DISORDERS STUDY SECTION,KEDD,2/9/2023,"WIDEN, ELIZABETHM,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF NUTRITIONAL SCIENCES,SCHOOL OF HUMAN ECOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
DEVELOPMENT - 2 STUDY SECTION,DEV2,6/5/2023,"GRAY, RYANS,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF NUTRITIONAL SCIENCES,DEPARTMENT OF PEDIATRICS,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78751",,
ANALYTICS AND STATISTICS FOR POPULATION RESEARCH PANEL B STUDY SECTION,ASPB,2/22/2023,"RATHOUZ, PAULJ,  PHD",PROFESSOR,DEPARTMENT OF POPULATION HEALTH,DELL MEDICAL SCHOOL,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
ANALYTICS AND STATISTICS FOR POPULATION RESEARCH PANEL B STUDY SECTION,ASPB,10/20/2022,"RATHOUZ, PAULJ,  PHD",PROFESSOR,DEPARTMENT OF POPULATION HEALTH,DELL MEDICAL SCHOOL,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
"BIOBEHAVIORAL REGULATION, LEARNING AND ETHOLOGY STUDY SECTION",BRLE,10/6/2022,"DONEGAN, JENNIFER,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF PSYCHIATRY AND,BEHAVIORAL SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
ADDICTION RISKS AND MECHANISMS STUDY SECTION,ARM,10/24/2022,"LIPPARD, ELIZABETHTHOMAS COX,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF PSYCHIATRY AND,BEHAVIORAL SCIENCES,DELL MEDICAL SCHOOL,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",
"NEURAL BASIS OF PSYCHOPATHOLOGY, ADDICTIONS AND SLEEP DISORDERS STUDY SECTION",NPAS,10/20/2022,"JABBI, MBEMBA,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF PSYCHIATRY AND BEHAVIORAL SCIENCES,DELL MEDICAL SCHOOL,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
HUMAN COMPLEX MENTAL FUNCTION STUDY SECTION,HCMF,2/9/2023,"DUARTE, AUDREY,  PHD",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,
NEUROTOXICOLOGY AND ALCOHOL STUDY SECTION,NAL,2/16/2023,"LEE, HONGJOOJOANNE,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF PSYCHOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712-104",,,
HUMAN COMPLEX MENTAL FUNCTION STUDY SECTION,HCMF,6/15/2023,"DUARTE, AUDREY,  PHD",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,
CLINICAL NEUROPLASTICITY AND NEUROTRANSMITTERS STUDY SECTION,CNNT,6/22/2023,"GAUDET, ANDREW,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF PSYCHOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
NEUROSCIENCE OF BASIC VISUAL PROCESSES STUDY SECTION,NBVP,9/29/2022,"GORIS, ROBBEL,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF PSYCHOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
"NEUROLOGICAL, MENTAL AND BEHAVIORAL HEALTH STUDY SECTION",NMBH,10/17/2022,"TUCKER-DROB, ELLIOTM,  PHD,  MA*",ASSOCIATE PROFESSOR,DEPARTMENT OF PSYCHOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
HUMAN COMPLEX MENTAL FUNCTION STUDY SECTION,HCMF,10/17/2022,"DUARTE, AUDREY,  PHD",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,
EMERGING IMAGING TECHNOLOGIES IN NEUROSCIENCE STUDY SECTION,EITN,10/20/2022,"PESTILLI, FRANCO,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF PSYCHOLOGY,COLLEGE OF LIBERAL ARTS,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
SOCIAL SCIENCES AND POPULATION STUDIES A STUDY SECTION,SSPA,10/18/2022,"WEITZMAN, ABIGAILMAE,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF SOCIOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,2/16/2023,"GRASSO, STEPHANIEM,  PHD*",ASSISTANT PROFESSOR,"DEPARTMENT OF SPEECH LANGUAGE,  AND HEARING SCIENCE",THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78702",,,
ANALYTICS AND STATISTICS FOR POPULATION RESEARCH PANEL B STUDY SECTION,ASPB,2/22/2023,"CALDER, CATHERINEA,  PHD",PROFESSOR AND CHAIR,DEPARTMENT OF STATISTICS AND DATA SCIENCES,COLLEGE OF NATURAL SCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
ANALYTICS AND STATISTICS FOR POPULATION RESEARCH PANEL B STUDY SECTION,ASPB,6/6/2023,"CALDER, CATHERINEA,  PHD",PROFESSOR AND CHAIR,DEPARTMENT OF STATISTICS AND DATA SCIENCES,COLLEGE OF NATURAL SCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
ANALYTICS AND STATISTICS FOR POPULATION RESEARCH PANEL B STUDY SECTION,ASPB,10/20/2022,"CALDER, CATHERINEA,  PHD",PROFESSOR AND CHAIR,DEPARTMENT OF STATISTICS AND DATA SCIENCES,COLLEGE OF NATURAL SCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
NEUROSCIENCE OF BASIC VISUAL PROCESSES STUDY SECTION,NBVP,6/7/2023,"SEIDEMANN, EYALJ,  PHD*",PROFESSOR,DEPARTMENTS OF PSYCHOLOGY AND NEUROSCIENCE,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
"BEHAVIORAL NEUROENDOCRINOLOGY, NEUROIMMUNOLOGY, RHYTHMS, AND SLEEP STUDY SECTION",BNRS,2/2/2023,"FONKEN, LAURAK,  PHD",ASSISTANT PROFESSOR,DIVISION OF PHARMACOLOGY AND TOXICOLOGY,COLLEGE OF PHARMACY,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,
"BEHAVIORAL NEUROENDOCRINOLOGY, NEUROIMMUNOLOGY, RHYTHMS, AND SLEEP STUDY SECTION",BNRS,6/1/2023,"FONKEN, LAURAK,  PHD",ASSISTANT PROFESSOR,DIVISION OF PHARMACOLOGY AND TOXICOLOGY,COLLEGE OF PHARMACY,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,
"BEHAVIORAL NEUROENDOCRINOLOGY, NEUROIMMUNOLOGY, RHYTHMS, AND SLEEP STUDY SECTION",BNRS,10/6/2022,"FONKEN, LAURAK,  PHD",ASSISTANT PROFESSOR,DIVISION OF PHARMACOLOGY AND TOXICOLOGY,COLLEGE OF PHARMACY,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,
SOCIAL SCIENCES AND POPULATION STUDIES B STUDY SECTION,SSPB,6/22/2023,"AIKEN, ABIGAILR,  PHD*",ASSOCIATE PROFESSOR,LYNDON B. JOHNSON SCHOOL OF PUBLIC AFFAIRS,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78713",,,
BIOBEHAVIORAL MEDICINE AND HEALTH OUTCOMES STUDY SECTION,BMHO,6/5/2023,"RADHAKRISHNAN, KAVITA,  PHD*",ASSOCIATE PROFESSOR,SCHOOL OF NURSING,UNIVERSITY OF TEXAS AUSTIN,"AUSTIN, TX, 78712",,,
BIOBEHAVIORAL MEDICINE AND HEALTH OUTCOMES STUDY SECTION,BMHO,10/3/2022,"CUEVAS, HEATHER,  PHD*",ASSISTANT PROFESSOR,SCHOOL OF NURSING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78728",,,
CHILD PSYCHOPATHOLOGY AND DEVELOPMENTAL DISABILITIES STUDY SECTION,CPDD,2/13/2023,"MAGAÑA, SANDRAM,  PHD",PROFESSOR,STEVE HICKS SCHOOL OF SOCIAL WORK,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
CHILD PSYCHOPATHOLOGY AND DEVELOPMENTAL DISABILITIES STUDY SECTION,CPDD,6/12/2023,"MAGAÑA, SANDRAM,  PHD",PROFESSOR,STEVE HICKS SCHOOL OF SOCIAL WORK,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
PREGNANCY AND NEONATOLOGY STUDY SECTION,PN,2/23/2023,"MOORE, BRIANNAF,  BS,  MS,  PHD*",ASSISTANT PROFESSOR,THE UNIVERSITY OF TEXAS HEALTH SCIENCE,CENTER SCHOOL OF PUBLIC HEALTH IN AUSTIN,"AUSTIN, TX, 78701",,,
"NEURAL BASIS OF PSYCHOPATHOLOGY, ADDICTIONS AND SLEEP DISORDERS STUDY SECTION",NPAS,2/16/2023,"JABBI, MBEMBA,  MS,  PHD*",ASSISTANT PROFESSOR,UNIVERSITY OF TEXAS AT AUSTIN,DEPARTMENT OF PSYCHIATRY,DELL MEDICAL SCHOOL,"AUSTIN, TX, 78712",,
ENVIRONMENTAL DETERMINANTS OF DISEASE STUDY SECTION (EDD),EDD,6/8/2023,"LEE, SEONGMIN,  PHD*",ASSOCIATE PROFESSOR,COLLEGE OF PHARMACY,UNIVERSITY OF AUSTIN TEXAS,"AUSTIN, TX, 787121140",,,
MAXIMIZING INVESTIGATORS’ RESEARCH AWARD B STUDY SECTION,MRAB,3/9/2023,"BRODBELT, JENNIFERS,  PHD",PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS,"AUSTIN, TX, 78712",,,
MAXIMIZING INVESTIGATORS’ RESEARCH AWARD B STUDY SECTION,MRAB,6/29/2023,"BRODBELT, JENNIFER S,  PHD",PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS,"AUSTIN, TX, 78712",,,
MAXIMIZING INVESTIGATORS’ RESEARCH AWARD B STUDY SECTION,MRAB,10/20/2022,"BRODBELT, JENNIFER S,  PHD",PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS,"AUSTIN, TX, 78712",,,
CELLULAR AND MOLECULAR IMMUNOLOGY - B STUDY SECTION,CMIB,3/2/2023,"EHRLICH, LAURENILYSE RICHIE,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,INSTITUTE FOR CELLULAR AND MOLECULAR BIOLOGY,THE UNIVERSITY OF TEXAS,"AUSTIN, TX, 78712",,
CELLULAR AND MOLECULAR IMMUNOLOGY - B STUDY SECTION,CMIB,6/29/2023,"EHRLICH, LAURENILYSE RICHIE,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,INSTITUTE FOR CELLULAR AND MOLECULAR BIOLOGY,THE UNIVERSITY OF TEXAS,"AUSTIN, TX, 78712",,
CELLULAR AND MOLECULAR IMMUNOLOGY - B STUDY SECTION,CMIB,10/27/2022,"EHRLICH, LAURENILYSE RICHIE,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,INSTITUTE FOR CELLULAR AND MOLECULAR BIOLOGY,THE UNIVERSITY OF TEXAS,"AUSTIN, TX, 78712",,
PREGNANCY AND NEONATOLOGY STUDY SECTION,PN,10/27/2022,"HARPER, LORIEM,  MD*",ASSOCIATE PROFESSOR,DIVISION OF MATERNAL-FETAL MEDICINE,UNIVERSITY OF TEXAS,DELL MEDICAL SCHOOL,"AUSTIN, TX, 78730",,
