Section Name,Section Abbreviation,Date,Name,Position,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6,Name_original,Lastname,First_and_middle,Firstname,Date_original,Zipcode
AGING SYSTEMS AND GERIATRICS STUDY SECTION,ASG,6/6/2024,"BARNES, JILL NICOLE",ASSOCIATE PROFESSOR,DEPARTMENT OF KINESIOLOGY,"UNIVERSITY OF WISCONSIN, MADISON","MADISON,       WI,       53706",,,,"BARNES, JILL  NICOLE, PHD",BARNES,JILL NICOLE,JILL,6/6/2024,53706
IMAGING GUIDED INTERVENTIONS AND SURGERY STUDY SECTION,IGIS,6/10/2021,"BAYER, CAROLYN LOUISE",ASSISTANT PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,TULANE UNIVERSITY,"NEW ORLEANS, LA, 70118",,,,"BAYER, CAROLYN LOUISE, PHD*",BAYER,CAROLYN LOUISE,CAROLYN,06/10/21 - 06/11/21,70118
PREGNANCY AND NEONATOLOGY STUDY SECTION,PN,2/24/2022,"BAYER, CAROLYN LOUISE",ASSISTANT PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,TULANE UNIVERSITY,"NEW ORLEANS, LA, 70118",,,,"BAYER, CAROLYN LOUISE, PHD*",BAYER,CAROLYN LOUISE,CAROLYN,02/24/22 - 02/25/22,70118
IMAGING GUIDED INTERVENTIONS AND SURGERY STUDY SECTION,IGIS,10/19/2023,"BAYER, CAROLYN LOUISE",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,TULANE UNIVERSITY,"NEW ORLEANS,       LA,       70118",,,,"BAYER, CAROLYN  LOUISE, PHD",BAYER,CAROLYN LOUISE,CAROLYN,10/19/2023,70118
"SOCIAL PSYCHOLOGY, PERSONALITY AND INTERPERSONAL PROCESSES STUDY SECTION",SPIP,10/18/2021,"BENNER, APRILE DAWN",ASSOCIATE PROFESSOR,DEPARTMENT OF HUMAN DEVELOPMENT,AND FAMILY SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"BENNER, APRILE DAWN, PHD*",BENNER,APRILE DAWN,APRILE,10/18/21 - 10/19/21,78712
POPULATION BASED RESEARCH IN INFECTIOUS DISEASE STUDY SECTION,PRID,6/25/2024,"BHAVNANI, DARLENE",ASSISTANT PROFESSOR,DEPARTMENT OF POPULATION HEALTH,DELL MEDICAL SCHOOL,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78746",,,"BHAVNANI, DARLENE, PHD, MPH",BHAVNANI,DARLENE,DARLENE,6/25/2024,78746
MODELING AND ANALYSIS OF BIOLOGICAL SYSTEMS STUDY SECTION,MABS,11/2/2023,"BIROS, GEORGE",PROFESSOR,DEPARTMENT OF MECHANICAL ENGINEERING,INSTITUTE FOR COMPUTATIONAL ENGINEERING & SCIENCES,UNIVERSITY OF  TEXAS,"AUSTIN,       TX,       787121229",,,"BIROS, GEORGE, PHD",BIROS,GEORGE,GEORGE,11/2/2023,78712
TRANSLATIONAL IMMUNO-ONCOLOGY STUDY SECTION,TIO,6/17/2024,"BLAZECK, JOHN JAMES",ASSISTANT PROFESSOR,SCHOOL OF CHEMICAL AND BIOMOLECULAR ENGINEERING,GEORGIA INSTITUTE OF TECHNOLOGY,"ATLANTA,       GA,       30332",,,,"BLAZECK, JOHN  JAMES, PHD",BLAZECK,JOHN JAMES,JOHN,6/17/2024,30332
DRUG DISCOVERY AND MOLECULAR PHARMACOLOGY A STUDY SECTION ,DMPA,3/19/2024,"BOLL, JOSEPH MICHAEL",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOLOGICAL SCIENCES,UNIVERSITY OF TEXAS AT DALLAS,"RICHARDSON,       TX,       75080",,,,"BOLL, JOSEPH  MICHAEL, PHD",BOLL,JOSEPH MICHAEL,JOSEPH,3/19/2024,75080
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,6/21/2021,"BOOTH, JAMES R",PROFESSOR,DEPARTMENT OF PSYCHOLOGY AND HUMAN DEVELOPMENT,VANDERBILT UNIVERSITY,"NASHVILLE, TN, 37203",,,,"BOOTH, JAMES R, PHD",BOOTH,JAMES R,JAMES,06/21/21 - 06/22/21,37203
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,10/28/2021,"BOOTH, JAMES R",PROFESSOR,DEPARTMENT OF PSYCHOLOGY AND HUMAN DEVELOPMENT,VANDERBILT UNIVERSITY,"NASHVILLE, TN, 37203",,,,"BOOTH, JAMES R, PHD",BOOTH,JAMES R,JAMES,10/28/21 - 10/29/21,37203
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,2/10/2022,"BOOTH, JAMES R",PROFESSOR,DEPARTMENT OF PSYCHOLOGY AND HUMAN DEVELOPMENT,VANDERBILT UNIVERSITY,"NASHVILLE, TN, 37203",,,,"BOOTH, JAMES R, PHD",BOOTH,JAMES R,JAMES,02/10/22 - 02/11/22,37203
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,6/23/2022,"BOOTH, JAMES R",PROFESSOR,DEPARTMENT OF PSYCHOLOGY AND HUMAN DEVELOPMENT,VANDERBILT UNIVERSITY,"NASHVILLE, TN, 37203",,,,"BOOTH, JAMES R,  PHD",BOOTH,JAMES R,JAMES,06/23/22 -,37203
NEURONAL COMMUNICATIONS STUDY SECTION,NC,6/13/2024,"BRAGER, DARRIN H",ASSISTANT PROFESSOR,DEPARTMENT OF LIFE SCIENCES,"UNIVERSITY OF NEVADA, LAS VEGAS","LAS VEGAS,       NV,       86154",,,,"BRAGER, DARRIN  H, PHD",BRAGER,DARRIN H,DARRIN,6/13/2024,86154
COMMUNITY INFLUENCES ON HEALTH BEHAVIOR STUDY SECTION,CIHB,6/11/2024,"BROWN-PODGORSKI, BRITTANY",ASSISTANT PROFESSOR,DEPARTMENT OF HEALTH POLICY AND MANAGEMENT,UNIVERSITY OF PITTSBURGH,"PITTSBURGH,       PA,       15261",,,,"BROWN-PODGORSKI, BRITTANY, PHD",BROWN-PODGORSKI,BRITTANY,BRITTANY,6/11/2024,15261
DRUG AND BIOLOGIC THERAPEUTIC DELIVERY STUDY SECTION,DBTD,6/17/2024,"BRUNAUGH, ASHLEE D",ASSISTANT PROFESSOR,DEPARTMENT OF PHARMACEUTICAL SCIENCES,COLLEGE OF PHARMACY,UNIVERSITY OF MICHIGAN,"ANN ARBOR,       MI,       48109",,,"BRUNAUGH, ASHLEE  D, PHD, PHMD",BRUNAUGH,ASHLEE D,ASHLEE,6/17/2024,48109
CLINICAL TRANSLATIONAL IMAGING SCIENCE STUDY SECTION,CTIS,6/20/2024,"BUSH, ADAM M",ASSISTANT PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,,"BUSH, ADAM  M, PHD",BUSH,ADAM M,ADAM,6/20/2024,78712
PREGNANCY AND NEONATOLOGY STUDY SECTION,PN,10/24/2023,"CAHILL, ALISON G",PROFESSOR,DEPARTMENT OF WOMEN'S HEALTH,DELL MEDICAL SCHOOL,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,"CAHILL, ALISON  G, MD",CAHILL,ALISON G,ALISON,10/24/2023,78712
PREGNANCY AND NEONATOLOGY STUDY SECTION,PN,2/20/2024,"CAHILL, ALISON G",PROFESSOR,DEPARTMENT OF WOMEN'S HEALTH,DELL MEDICAL SCHOOL,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,"CAHILL, ALISON  G, MD",CAHILL,ALISON G,ALISON,2/20/2024,78712
PREGNANCY AND NEONATOLOGY STUDY SECTION,PN,6/17/2024,"CAHILL, ALISON G",PROFESSOR,DEPARTMENT OF WOMEN'S HEALTH,DELL MEDICAL SCHOOL,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,"CAHILL, ALISON  G, MD",CAHILL,ALISON G,ALISON,6/17/2024,78712
BIOSTATISTICAL METHODS AND RESEARCH DESIGN STUDY SECTION,BMRD,11/2/2021,"CALDER, CATHERINE A",PROFESSOR AND CHAIR,DEPARTMENT OF STATISTICS AND DATA SCIENCES,COLLEGE OF NATURAL SCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"CALDER, CATHERINE A, PHD",CALDER,CATHERINE A,CATHERINE,11/02/21 - 11/03/21,78712
BIOSTATISTICAL METHODS AND RESEARCH DESIGN STUDY SECTION,BMRD,3/3/2022,"CALDER, CATHERINE A",PROFESSOR AND CHAIR,DEPARTMENT OF STATISTICS AND DATA SCIENCES,COLLEGE OF NATURAL SCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"CALDER, CATHERINE A, PHD",CALDER,CATHERINE A,CATHERINE,03/03/22 - 03/04/22,78712
BIOSTATISTICAL METHODS AND RESEARCH DESIGN STUDY SECTION,BMRD,6/21/2022,"CALDER, CATHERINE A",PROFESSOR AND CHAIR,DEPARTMENT OF STATISTICS AND DATA SCIENCES,COLLEGE OF NATURAL SCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"CALDER, CATHERINE A,  PHD",CALDER,CATHERINE A,CATHERINE,06/21/22 -,78712
ANALYTICS AND STATISTICS FOR POPULATION RESEARCH PANEL B STUDY SECTION,ASPB,10/20/2022,"CALDER, CATHERINE A",PROFESSOR AND CHAIR,DEPARTMENT OF STATISTICS AND DATA SCIENCES,COLLEGE OF NATURAL SCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"CALDER, CATHERINE A,  PHD",CALDER,CATHERINE A,CATHERINE,10/20/22 -,78712
ANALYTICS AND STATISTICS FOR POPULATION RESEARCH PANEL B STUDY SECTION,ASPB,2/22/2023,"CALDER, CATHERINE A",PROFESSOR AND CHAIR,DEPARTMENT OF STATISTICS AND DATA SCIENCES,COLLEGE OF NATURAL SCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"CALDER, CATHERINE A,  PHD",CALDER,CATHERINE A,CATHERINE,2/22/2023,78712
ANALYTICS AND STATISTICS FOR POPULATION RESEARCH PANEL B STUDY SECTION,ASPB,6/6/2023,"CALDER, CATHERINE A",PROFESSOR AND CHAIR,DEPARTMENT OF STATISTICS AND DATA SCIENCES,COLLEGE OF NATURAL SCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"CALDER, CATHERINE A,  PHD",CALDER,CATHERINE A,CATHERINE,6/6/2023,78712
ANALYTICS AND STATISTICS FOR POPULATION RESEARCH PANEL B STUDY SECTION,ASPB,11/14/2023,"CALDER, CATHERINE A",PROFESSOR AND CHAIR,DEPARTMENT OF STATISTICS AND DATA SCIENCES,COLLEGE OF NATURAL SCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,"CALDER, CATHERINE  A, PHD",CALDER,CATHERINE A,CATHERINE,11/14/2023,78712
ANALYTICS AND STATISTICS FOR POPULATION RESEARCH PANEL B STUDY SECTION,ASPB,2/12/2024,"CALDER, CATHERINE A",PROFESSOR AND CHAIR,DEPARTMENT OF STATISTICS AND DATA SCIENCES,COLLEGE OF NATURAL SCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,"CALDER, CATHERINE  A, PHD",CALDER,CATHERINE A,CATHERINE,2/12/2024,78712
ANALYTICS AND STATISTICS FOR POPULATION RESEARCH PANEL B STUDY SECTION,ASPB,7/16/2024,"CALDER, CATHERINE A",PROFESSOR AND CHAIR,DEPARTMENT OF STATISTICS AND DATA SCIENCES,COLLEGE OF NATURAL SCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,"CALDER, CATHERINE  A, PHD",CALDER,CATHERINE A,CATHERINE,7/16/2024,78712
DRUG AND BIOLOGIC THERAPEUTIC DELIVERY STUDY SECTION,DBTD,2/1/2024,"CALLMANN, CASSANDRA ELIZABETH",ASSISTANT PROFESSOR,DEPARTMENT OF CHEMISTRY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,,"CALLMANN, CASSANDRA  ELIZABETH, PHD",CALLMANN,CASSANDRA ELIZABETH,CASSANDRA,2/1/2024,78712
BACTERIAL-HOST INTERACTIONS STUDY SECTION ,BHI,11/2/2023,"CAMBRONNE, ERIC D",ASSOCIATE PROFESSOR,MOLECULAR BIOSCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78705",,,,"CAMBRONNE, ERIC  D, PHD",CAMBRONNE,ERIC D,ERIC,11/2/2023,78705
IMAGING GUIDED INTERVENTIONS AND SURGERY STUDY SECTION,IGIS,6/10/2021,"CASTILLO, EDWARD",ASSOCIATE PROFESSOR,DEPARTMENT OF RADIATION ONCOLOGY,BEAUMONT HEALTH SYSTEM,"ROYAL OAK, MI, 48073",,,,"CASTILLO, EDWARD, PHD*",CASTILLO,EDWARD,EDWARD,06/10/21 - 06/11/21,48073
IMAGING GUIDED INTERVENTIONS AND SURGERY STUDY SECTION,IGIS,10/21/2021,"CASTILLO, EDWARD",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,,"CASTILLO, EDWARD, PHD",CASTILLO,EDWARD,EDWARD,10/21/21 - 10/22/21,78712
IMAGING GUIDED INTERVENTIONS AND SURGERY STUDY SECTION,IGIS,6/9/2022,"CASTILLO, EDWARD",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,,"CASTILLO, EDWARD,  PHD",CASTILLO,EDWARD,EDWARD,06/09/22 -,78712
IMAGING GUIDED INTERVENTIONS AND SURGERY STUDY SECTION,IGIS,2/23/2023,"CASTILLO, EDWARD",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,,"CASTILLO, EDWARD,  PHD",CASTILLO,EDWARD,EDWARD,2/23/2023,78712
IMAGING GUIDED INTERVENTIONS AND SURGERY STUDY SECTION,IGIS,6/8/2023,"CASTILLO, EDWARD",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,,"CASTILLO, EDWARD,  PHD",CASTILLO,EDWARD,EDWARD,6/8/2023,78712
IMAGING GUIDED INTERVENTIONS AND SURGERY STUDY SECTION,IGIS,10/19/2023,"CASTILLO, EDWARD",ASSOCIATE PROFESSOR AND ASSOCIATE CHAIR FOR GRADUATE EDUCATION,"WILLIAM J. MURRAY, JR. FELLOWSHIP IN ENGINEERING",DEPARTMENT OF BIOMEDICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,"CASTILLO, EDWARD, PHD",CASTILLO,EDWARD,EDWARD,10/19/2023,78712
IMAGING GUIDED INTERVENTIONS AND SURGERY STUDY SECTION,IGIS,2/15/2024,"CASTILLO, EDWARD",ASSOCIATE PROFESSOR AND ASSOCIATE CHAIR FOR GRADUATE EDUCATION,"WILLIAM J. MURRAY, JR. FELLOWSHIP IN ENGINEERING",DEPARTMENT OF BIOMEDICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,"CASTILLO, EDWARD, PHD",CASTILLO,EDWARD,EDWARD,2/15/2024,78712
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,6/21/2021,"CHANDRASEKARAN, BHARATH",PROFESSOR,DEPARTMENT OF COMMUNCIATION SCIENCES AND DISORDERS,UNIVERSITY OF PITTSBURGH SCHOOL OF MEDICINE,"PITTSBURGH, PA, 15260",,,,"CHANDRASEKARAN, BHARATH, PHD",CHANDRASEKARAN,BHARATH,BHARATH,06/21/21 - 06/22/21,15260
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,10/28/2021,"CHANDRASEKARAN, BHARATH",PROFESSOR,DEPARTMENT OF COMMUNICATION SCIENCES AND DISORDERS,SCHOOL OF HEALTH AND REHABILITATION,UNIVERSITY OF PITTSBURGH,"PITTSBURGH, PA, 15260",,,"CHANDRASEKARAN, BHARATH, PHD",CHANDRASEKARAN,BHARATH,BHARATH,10/28/21 - 10/29/21,15260
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,2/10/2022,"CHANDRASEKARAN, BHARATH",PROFESSOR,DEPARTMENT OF COMMUNCIATION SCIENCES AND DISORDERS,UNIVERSITY OF PITTSBURGH SCHOOL OF MEDICINE,"PITTSBURGH, PA, 15260",,,,"CHANDRASEKARAN, BHARATH, PHD",CHANDRASEKARAN,BHARATH,BHARATH,02/10/22 - 02/11/22,15260
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,6/23/2022,"CHANDRASEKARAN, BHARATH",PROFESSOR,DEPARTMENT OF COMMUNICATION SCIENCES AND DISORDERS,SCHOOL OF HEALTH AND REHABILITATION,UNIVERSITY OF PITTSBURGH,"PITTSBURGH, PA, 15260",,,"CHANDRASEKARAN, BHARATH,  PHD",CHANDRASEKARAN,BHARATH,BHARATH,06/23/22 -,15260
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,10/6/2022,"CHANDRASEKARAN, BHARATH",PROFESSOR,DEPARTMENT OF COMMUNICATION SCIENCES AND DISORDERS,SCHOOL OF HEALTH AND REHABILITATION,UNIVERSITY OF PITTSBURGH,"PITTSBURGH, PA, 15260",,,"CHANDRASEKARAN, BHARATH,  PHD",CHANDRASEKARAN,BHARATH,BHARATH,10/06/22 -,15260
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,2/16/2023,"CHANDRASEKARAN, BHARATH",PROFESSOR,DEPARTMENT OF COMMUNICATION SCIENCES AND DISORDERS,SCHOOL OF HEALTH AND REHABILITATION,UNIVERSITY OF PITTSBURGH,"PITTSBURGH, PA, 15260",,,"CHANDRASEKARAN, BHARATH,  PHD",CHANDRASEKARAN,BHARATH,BHARATH,2/16/2023,15260
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,6/8/2023,"CHANDRASEKARAN, BHARATH",PROFESSOR,DEPARTMENT OF COMMUNICATION SCIENCES AND DISORDERS,SCHOOL OF HEALTH AND REHABILITATION,UNIVERSITY OF PITTSBURGH,"PITTSBURGH, PA, 15260",,,"CHANDRASEKARAN, BHARATH,  PHD",CHANDRASEKARAN,BHARATH,BHARATH,6/8/2023,15260
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,10/5/2023,"CHANDRASEKARAN, BHARATH",PROFESSOR,DEPARTMENT OF COMMUNICATION SCIENCES,AND DISORDERS,NORTHWESTERN UNIVERSITY,"EVANSTON,       IL,       60208",,,"CHANDRASEKARAN, BHARATH, PHD",CHANDRASEKARAN,BHARATH,BHARATH,10/5/2023,60208
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,2/8/2024,"CHANDRASEKARAN, BHARATH",PROFESSOR,DEPARTMENT OF COMMUNICATION SCIENCES,AND DISORDERS,NORTHWESTERN UNIVERSITY,"EVANSTON,       IL,       60208",,,"CHANDRASEKARAN, BHARATH, PHD",CHANDRASEKARAN,BHARATH,BHARATH,2/8/2024,60208
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,6/27/2024,"CHANDRASEKARAN, BHARATH",PROFESSOR,DEPARTMENT OF COMMUNICATION SCIENCES,AND DISORDERS,NORTHWESTERN UNIVERSITY,"EVANSTON,       IL,       60208",,,"CHANDRASEKARAN, BHARATH, PHD",CHANDRASEKARAN,BHARATH,BHARATH,6/27/2024,60208
PATHOPHYSIOLOGY OF EYE DISEASE â€“ 1 STUDY SECTION,PED1,6/3/2021,"CHEN, XI",ASSISTANT PROFESSOR,DEPARTMENT OF OPHTHALMOLOGY,DUKE UNIVERSITY,"DURHAM, NC, 27710",,,,"CHEN, XI, MD, PHD*",CHEN,XI,XI,06/03/21 - 06/04/21,27710
PATHOPHYSIOLOGY OF EYE DISEASE - 1 STUDY SECTION,PED1,10/16/2023,"CHEN, XI",ASSISTANT PROFESSOR,DEPARTMENT OF OPHTHALMOLOGY,DUKE UNIVERSITY,"DURHAM,       NC,       27710",,,,"CHEN, XI, MD, PHD",CHEN,XI,XI,10/16/2023,27710
SOCIAL SCIENCES AND POPULATION STUDIES B STUDY SECTION,SSPB,2/15/2024,"CHEN, XI",ASSOCIATE PROFESSOR,DEPARTMENTS OF PUBLIC HEALTH AND GLOBAL HEALTH,AND ECONOMICS,YALE UNIVERSITY,"NEW HAVEN,       CT,       06510",,,"CHEN, XI, PHD",CHEN,XI,XI,2/15/2024,6510
HEALTH SERVICES: QUALITY AND EFFECTIVENESS STUDY SECTION,HSQE,6/24/2021,"CHOI, NAMKEE G",PROFESSOR,SCHOOL OF SOCIAL WORK,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,,"CHOI, NAMKEE G, PHD*",CHOI,NAMKEE G,NAMKEE,06/24/21 - 06/25/21,78712
EMERGING IMAGING TECHNOLOGIES AND APPLICATIONS STUDY SECTION,EITA,10/27/2022,"CHOWDHURY, SHWETADWIP",ASSISTANT PROFESSOR,DEPARTMENT OF ELECTRICAL AND COMPUTER ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78741",,,,"CHOWDHURY, SHWETADWIP,  PHD*",CHOWDHURY,SHWETADWIP,SHWETADWIP,10/27/2022,78741
