Section Name,Section Abbreviation,Date,Zipcode,Name,Position,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,48824,"LIANG, YUN",ASSISTANT PROFESSOR,DEPARTMENT OF PHYSIOLOGY,MICHIGAN STATE UNIVERSITY,"EAST LANSING,       MI,       48824",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,90033,"LIU, FU-TONG",PROFESSOR,DEPARTMENT OF DERMATOLOGY,KECK SCHOOL OF MEDICINE,UNIVERSITY OF SOUTHERN CALIFORNIA,"LOS ANGELES,       CA,       90033",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,98109,"LOOD, JAN  CHRISTIAN",ASSOCIATE PROFESSOR,DIVISION OF RHEUMATOLOGY,DEPARTMENT OF MEDICINE,UNIVERSITY OF WASHINGTON,"SEATTLE,       WA,       98109",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,14642,"LOONEY, R  JOHN",ASSOCIATE PROFESSOR,DEPARTMENTS OF MEDICINE AND ENVIRONMENTAL MEDICINE,ALLERGY AND RHEUMATOLOGY UNIT,UNIVERSITY OF ROCHESTER MEDICAL CENTER,"ROCHESTER,       NY,       14642",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,84132,"MIMCHE, PATRICE",ASSISTANT PROFESSOR,DIVISION OF MICROBIOLOGY AND IMMUNOLOGY,DEPARTMENT OF PATHOLOGY,UNIVERSITY OF UTAH SCHOOL OF MEDICINE,"SALT LAKE CITY,       UT,       84132",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,38163,"MYERS, LINDA  K.",PROFESSOR,DEPARTMENT OF PEDIATRICS,COLLEGE OF MEDICINE,UNIVERSITY OF TENNESSEE,"MEMPHIS,       TN,       38163",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,6511,"MYUNG, PEGGY  S",ASSOCIATE PROFESSOR OF DERMATOLOGY AND PATHOLOGY,YALE DERMATOPATHOLOGY LABORATORY FOR,MEDICINE AND PEDIATRICS,YALE UNIVERSITY,"NEW HAVEN,       CT,       06511",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,97239,"NAPIER, RUTH",ASSISTANT PROFESSOR,DIVISION OF ARTHRITIS AND RHEUMATIC DISEASES,OREGON HEALTH AND SCIENCE UNIVERSITY,"PORTLAND,       OR,       97239",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,73104,"NATH, SWAPAN  K",PROFESSOR,ARTHRITIS AND CLINICAL IMMUNOLOGY,OKLAHOMA MEDICAL RESEARCH FOUNDATION,UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,"OKLAHOMA CITY,       OK,       73104",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,6032,"OH, JULIA  S",ASSOCIATE PROFESSOR,THE JACKSON LABORATORY FOR GENOMIC MEDICINE,"FARMINGTON,       CT,       06032",,,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,1605,"ORZALLI, MEGAN  HORN",ASSISTANT PROFESSOR,DEPARTMENT OF MEDICINE,UNIVERSITY OF MASSACHUSETTS CHAN MEDICAL SCHOOL,"WORCESTER,       MA,       01605",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,10032,"OWENS, DAVID  M.",ASSOCIATE PROFESSOR,DEPARTMENTS OF DERMATOLOGY AND PATHOLOGY,AND CELL BIOLOGY,COLUMBIA UNIVERSITY,"NEW YORK,       NY,       10032",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,2421,"PALLISER, DEBORAH",ASSOCIATE DIRECTOR,TAKEDA PHARMACEUTICALS,"LEXINGTON,       MA,       02421",,,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,94143,"ROSENBLUM, MICHAEL  DAVID",PROFESSOR AND VICE CHAIR,DEPARTMENT OF DERMATOLOGY,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","SAN FRANCISCO,       CA,       94143",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,60612,"SHAHRARA, SHIVA",PROFESSOR,DIVISION OF RHEUMATOLOGY,DEPARTMENT OF MEDICINE,UNIVERSITY OF ILLINOIS AT CHICAGO,"CHICAGO,       IL,       60612",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,30912,"SHI, HONG",ASSISTANT PROFESSOR,DEPARTMENT OF MEDICINE,MEDICAL COLLEGE OF GEORGIA,AUGUSTA UNIVERSITY,"AUGUSTA,       GA,       30912",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,20037,"SHOOK, BRETT",ASSISTANT PROFESSOR,DEPARTMENT OF BIOCHEMISTRY AND MOLECULAR MEDICINE,GEORGE WASHINGTON UNIVERSITY,"WASHINGTON,       DC,       20037",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,19107,"SOUTH, ANDREW",PROFESSOR,DEPARTMENT OF DERMATOLOGY AND CUTANEOUS BIOLOGY,SIDNEY KIMMEL MEDICAL COLLEGE,THOMAS JEFFERSON UNIVERSITY,"PHILADELPHIA,       PA,       19107",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,15260,"VALENZI, ELEANOR",ASSISTANT PROFESSOR,DEPARTMENT OF MEDICINE,UNIVERSITY OF PITTSBURGH,"PITTSBURGH,       PA,       15260",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,85721,"WONDRAK, GEORG  T",PROFESSOR,DEPARTMENT OF PHARMACOLOGY AND TOXICOLOGY,R.K. COIT COLLEGE OF PHARMACY AND UA CANCER CENTER,UNIVERSITY OF ARIZONA,"TUCSON,       AZ,       85721",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,55905,"WYLES, SARANYA  PURUSHOTHAMAN",ASSISTANT PROFESSOR OF DERMATOLOGY AND REGENERATIVE MEDICINE,MAYO CLINIC ROCHESTER,"ROCHESTER,       MN,       55905",,,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,21205,"DECKER, MICHELE  R.",PROFESSOR,"DEPARTMENT OF POPULATION, FAMILY",AND REPRODUCTIVE HEALTH,BLOOMBERG SCHOOL OF PUBLIC HEALTH,JOHNS HOPKINS UNIVERSITY,"BALTIMORE,       MD,       21205",
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,32611,"KIMA, PETER  E.",ASSOCIATE PROFESSOR,DEPARTMENT OF MICROBIOLOGY,AND CELL SCIENCES,UNIVERSITY OF FLORIDA,"GAINESVILLE,       FL,       32611",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,20892,"LIM, CHEE",SCIENTIFIC REVIEW OFFICER,CENTER FOR SCIENTIFIC REVIEW,NATIONAL INSTITUTES OF HEALTH,"BETHESDA,       MD,       20892",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,20892,"GERSCH, ROBERT",SCIENTIFIC REVIEW OFFICER,CENTER FOR SCIENTIFIC REVIEW,NATIONAL INSTITUTES OF HEALTH,"BETHESDA,       MD,       20892",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,20892,"REDDING, DANA  CHRISTIN THOMA",EXTRAMURAL SUPPORT ASSISTANT,CENTER FOR SCIENTIFIC REVIEW,NATIONAL INSTITUTES OF HEALTH,"BETHESDA,       MD,       20892",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,48109,"GUDJONSSON, JOHANN  ELI",ARTHUR C. CURTIS PROFESSOR OF CUTANEOUS IMMUNOLOGY,DEPARTMENT OF DERMATOLOGY,UNIVERSITY OF MICHIGAN,"ANN ARBOR,       MI,       48109",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,21224,"ANDRADE, FELIPE",ASSOCIATE PROFESSOR,DEPARTMENT OF RHEUMATOLOGY,JOHNS HOPKINS UNIVERSITY,"BALTIMORE,       MD,       21224",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,60208,"BAO, XIAOMIN",ASSISTANT PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,WEINBERG COLLEGE OF ARTS AND SCIENCES,NORTHWESTERN UNIVERSITY,"EVANSTON,       IL,       60208",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,90048,"BOTTINI, NUNZIO",DIRECTOR,KAO AUTOIMMUNITY INSTITUTE,DIVISION OF RHEUMATOLOGY,CEDARS-SINAI MEDICAL CENTER,"LOS ANGELES,       CA,       90048",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,19140,"COHEN, PHILIP  L",PROFESSOR EMERITUS,DEPARTMENT OF MEDICINE,LEWIS KATZ SCHOOL OF MEDICINE,TEMPLE UNIVERSITY,"PHILADELPHIA,       PA,       19140",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,35294,"CONTRERAS-GALINDO, RAFAEL  ALEJANDRO",ASSISTANT PROFESSOR,DEPARTMENT OF GENETICS,UNIVERSITY OF ALABAMA AT BIRMINGHAM,"BIRMINGHAM,       AL,       35294",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,79106,"DAS, HIRANMOY",PROFESSOR,DEPARTMENT OF BIOMEDICAL SCIENCES,SCHOOL OF PHARMACY,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,"AMARILLO,       TX,       79106",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,92093,"DI NARDO, ANNA","PROFESSOR, VICE CHAIR OF RESEARCH",DEPARTMENT OF DERMATOLOGY,UNIVERSITY OF CALIFORNIA SAN DIEGO,"LA JOLLA,       CA,       92093",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,15219,"GORDILLO, GAYLE  M",PROFESSOR,DEPARTMENT OF PLASTIC SURGERY,SCHOOL OF MEDICINE,UNIVERSITY OF PITTSBURGH,"PITTSBURGH,       PA,       15219",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,92093,"GUMA, MONICA",PROFESSOR,"DIVISION OF RHEUMATOLOGY, ALLERGY,",AND IMMUNOLOGY,SCHOOL OF MEDICINE,"UNIVERSITY OF CALIFORNIA, SAN DIEGO","LA JOLLA,       CA,       92093",
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,68178,"HANSEN, LAURA  A.",ASSOCIATE DEAN AND PROFESSOR,DEPARTMENT OF BIOMEDICAL SCIENCES,"DIRECTOR, MECHANISMS OF CARCINOGENESIS PROGRAM",SCHOOL OF MEDICINE,CREIGHTON UNIVERSITY,"OMAHA,       NE,       68178",
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,60637,"HE, YU-YING",PROFESSOR,SECTION OF DERMATOLOGY,DEPARTMENT OF MEDICINE,CANCER RESEARCH CENTER,THE UNIVERSITY OF CHICAGO,"CHICAGO,       IL,       60637",
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,70112,"HONG, SONG",ASSOCIATE PROFESSOR,DEPARTMENT OF OPHTHALMOLOGY AND NEUROSCIENCE,NEUROSCIENCE CENTER OF EXCELLENCE,HEALTH SCIENCES CENTER,LOUISIANA STATE UNIVERSITY,"NEW ORLEANS,       LA,       70112",
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,55455,"HORDINSKY, MARIA  K",PROFESSOR AND CHAIR,DEPARTMENT OF DERMATOLOGY,UNIVERSITY OF MINNESOTA,"MINNEAPOLIS,       MN,       55455",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,10021,"IVASHKIV, LIONEL  B.",CHIEF SCIENTIFIC OFFICER,DEPARTMENT OF MEDICINE AND IMMUNOLOGY,HOSPITAL FOR SPECIAL SURGERY,WEILL CORNELL MEDICINE,"NEW YORK,       NY,       10021",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,33146,"JOZIC, IVAN",RESEARCH ASSISTANT PROFESSOR,DEPARTMENT OF DERMATOLOGY AND CUTANEOUS SURGERY,SCHOOL OF MEDICINE,UNIVERSITY OF MIAMI,"MIAMI,       FL,       33146",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,77401,"KESWANI, SUNDEEP  G",PROFESSOR AND CLAYTON ENDOWED CHAIR IN SURGICAL RESEARCH,DIVISION OF PEDIATRIC SURGERY,DEPARTMENT OF SURGERY,TEXAS CHILDREN?S HOSPITAL,BAYLOR COLLEGE OF MEDICINE,"HOUSTON,       TX,       77401",
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,14623,"KORMAN, BENJAMIN  DOUGLAS",ASSISTANT PROFESSOR,DEPARTMENT OF MEDICINE,UNIVERSITY OF ROCHESTER,"ROCHESTER,       NY,       14623",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,80206,"LEUNG, DONALD  YM",DISTINGUISHED PROFESSOR,DIVISION OF PEDIATRIC ALLERGY AND IMMUNOLOGY,NATIONAL JEWISH HEALTH,"DENVER,       CO,       80206",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,27599,"LIU, ZHI",LOUIS SKINNER DISTINGUISHED PROFESSOR AND DIRECTOR OF RESEARCH,DERMATOLOGY LABORATORIES,DEPARTMENT OF DERMATOLOGY,UNIVERSITY OF NORTH CAROLINA,"CHAPEL HILL,       NC,       27599",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,32610,"MADEN, MALCOLM",PROFESSOR,DEPARTMENT OF BIOLOGY AND UF GENETICS INSTITUTE,UNIVERSITY OF FLORIDA,"GAINESVILLE,       FL,       32610",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,2129,"MANDINOVA, ANNA",ASSOCIATE PROFESSOR,CUTANEOUS BIOLOGY RESEARCH CENTER,MASSACHUSETTS GENERAL HOSPITAL,HARVARD MEDICAL SCHOOL,"CHARLESTOWN,       MA,       02129",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,77030,"MAYES, MAUREEN  D",PROFESSOR,DIVISION OF RHEUMATOLOGY AND,CLINICAL IMMUNOGENETICS,DEPARTMENT OF INTERNAL MEDICINE,UNIVERSITY OF TEXAS MCGOVERN MEDICAL SCHOOL,"HOUSTON,       TX,       77030",
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,44106,"MCCORMICK, THOMAS  S",ASSOCIATE PROFESSOR,DEPARTMENT OF DERMATOLOGY,CASE WESTERN RESERVE UNIVERSITY,"CLEVELAND,       OH,       44106",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,14263,"MUHITCH, JASON  B",ASSOCIATE PROFESSOR,DEPARTMENT OF IMMUNOLOGY,ROSWELL PARK COMPREHENSIVE CANCER CENTER,"BUFFALO,       NY,       14263",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,76107,"NGUYEN, UYEN-SA  DUC TRAN",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOSTATISTICS AND EPIDEMIOLOGY,SCHOOL OF PUBLIC HEALTH,UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER,"FORT WORTH,       TX,       76107",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,6032,"OH, JULIA  S",ASSOCIATE PROFESSOR,THE JACKSON LABORATORY FOR GENOMIC MEDICINE,"FARMINGTON,       CT,       06032",,,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,10032,"OWENS, DAVID  M.",ASSOCIATE PROFESSOR,DEPARTMENTS OF DERMATOLOGY AND PATHOLOGY,AND CELL BIOLOGY,COLUMBIA UNIVERSITY,"NEW YORK,       NY,       10032",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,95616,"REARDON, COLIN",ASSOCIATE PROFESSOR,"DEPARTMENT OF ANATOMY, PHYSIOLOGY,",AND CELL BIOLOGY,"UNIVERSITY OF CALIFORNIA, DAVIS","DAVIS,       CA,       95616",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,94143,"ROSENBLUM, MICHAEL  DAVID",PROFESSOR AND VICE CHAIR,DEPARTMENT OF DERMATOLOGY,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","SAN FRANCISCO,       CA,       94143",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,10003,"SCHER, JOSE  U.",ASSOCIATE PROFESSOR OF MEDICINE,DEPARTMENT OF MEDICINE,DIVISION OF RHEUMATOLOGY,NEW YORK UNIVERSITY GROSSMAN SCHOOL OF MEDICINE,"NEW YORK,       NY,       10003",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,40506,"SEIFERT, ASHLEY  WINN",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOLOGY,UNIVERSITY OF KENTUCKY,"LEXINGTON,       KY,       40506",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,98109,"SIMPSON, CORY  L",ASSISTANT PROFESSOR,DEPARTMENT OF DERMATOLOGY,UNIVERSITY OF WASHINGTON SCHOOL OF MEDICINE,"SEATTLE,       WA,       98109",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,43210,"WILGUS, TRACI  A",ASSOCIATE PROFESSOR,DEPARTMENT OF PATHOLOGY,THE OHIO STATE UNIVERSITY,"COLUMBUS,       OH,       43210",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,85721,"WONDRAK, GEORG  T",PROFESSOR,DEPARTMENT OF PHARMACOLOGY AND TOXICOLOGY,R.K. COIT COLLEGE OF PHARMACY AND UA CANCER CENTER,UNIVERSITY OF ARIZONA,"TUCSON,       AZ,       85721",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,90095,"ADAMS, JOHN  S",PROFESSOR,DEPARTMENT OF ORTHOPAEDIC SURGERY AND,"MOLECULAR, CELL AND DEVELOPMENTAL BIOLOGY","UNIVERSITY OF CALIFORNIA, LOS ANGELES","LOS ANGELES,       CA,       90095",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,53706,"ANSARI, ASEEM  Z",PROFESSOR,DEPARTMENT OF BIOCHEMISTRY AND GENOME CENTER,UNIVERSITY OF WISCONSIN,"MADISON,       WI,       53706",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,2215,"LIU, PINGHUA",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,BOSTON UNIVERSITY,"BOSTON,       MA,       02215",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,20892,"GERSCH, ROBERT",SCIENTIFIC REVIEW OFFICER,CENTER FOR SCIENTIFIC REVIEW,NATIONAL INSTITUTES OF HEALTH,"BETHESDA,       MD,       20892",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,2/13/2024,20892,"CSISAR, ELIN  MARGARET",EXTRAMURAL SUPPORT ASSISTANT,THE CENTER FOR SCIENTIFIC REVIEW,THE NATIONAL INSTITUTES OF HEALTH,"BETHESDA,       MD,       20892",,,
